sub_id,task,is_practice,block,trial,target_01,target_02,task_relevance,category,orientation,identity,duration,stim_jit,SOA,onset_SOA,SOA_lock,pitch
SX106,auditory_and_visual,1,0,12,practice_05,practice_11,non-target,letter,center,letter_01,1,0.94,0,0,onset,1100
SX106,auditory_and_visual,1,0,13,practice_05,practice_11,irrelevant,object,center,object_17,0.5,1.006666667,0.116,0.116,onset,1100
SX106,auditory_and_visual,1,0,14,practice_05,practice_11,irrelevant,face,right,face_16,1,1.14,0,1,offset,1000
SX106,auditory_and_visual,1,0,15,practice_05,practice_11,non-target,false_font,center,false_font_13,1.5,0.78,0.466,0.466,onset,1000
SX106,auditory_and_visual,1,0,16,practice_05,practice_11,non-target,letter,left,letter_10,1,0.94,0.116,1.116,offset,1100
SX106,auditory_and_visual,1,0,17,practice_05,practice_11,irrelevant,face,left,face_18,1,0.726666667,0.232,0.232,onset,1100
SX106,auditory_and_visual,1,0,18,practice_05,practice_11,irrelevant,object,center,object_03,1.5,1.3,0,1.5,offset,1100
SX106,auditory_and_visual,1,0,19,practice_05,practice_11,non-target,false_font,right,false_font_02,0.5,0.74,0,0,onset,1000
SX106,auditory_and_visual,1,0,20,practice_05,practice_11,irrelevant,object,right,object_18,1.5,0.966666667,0,1.5,offset,1000
SX106,auditory_and_visual,1,0,21,practice_05,practice_11,non-target,false_font,right,false_font_12,1,0.74,0.232,0.232,onset,1000
SX106,auditory_and_visual,1,0,22,practice_05,practice_11,non-target,letter,center,letter_17,0.5,0.806666667,0,0.5,offset,1100
SX106,auditory_and_visual,1,0,23,practice_05,practice_11,irrelevant,face,center,face_19,1.5,0.833333333,0.466,1.966,offset,1000
SX106,auditory_and_visual,1,0,24,practice_05,practice_11,non-target,false_font,center,false_font_01,1.5,0.78,0.232,0.232,onset,1100
SX106,auditory_and_visual,1,0,25,practice_05,practice_11,irrelevant,object,center,object_05,1.5,0.9,0.232,0.232,onset,1100
SX106,auditory_and_visual,1,0,26,practice_05,practice_11,irrelevant,object,center,object_11,0.5,1.273333333,0,0.5,offset,1000
SX106,auditory_and_visual,1,0,27,practice_05,practice_11,non-target,false_font,left,false_font_13,0.5,1.713333333,0.232,0.732,offset,1000
SX106,auditory_and_visual,1,0,28,practice_05,practice_11,target,false_font,left,practice_05,1,0.94,0.232,1.232,offset,1100
SX106,auditory_and_visual,1,0,29,practice_05,practice_11,target,false_font,right,practice_05,1,1.193333333,0.466,0.466,onset,1100
SX106,auditory_and_visual,1,0,30,practice_05,practice_11,non-target,false_font,right,false_font_07,1.5,0.966666667,0.232,1.732,offset,1100
SX106,auditory_and_visual,1,0,31,practice_05,practice_11,non-target,letter,left,letter_03,0.5,0.753333333,0.116,0.616,offset,1000
SX106,auditory_and_visual,1,0,32,practice_05,practice_11,non-target,letter,center,letter_12,0.5,0.806666667,0.466,0.466,onset,1000
SX106,auditory_and_visual,1,0,33,practice_05,practice_11,non-target,false_font,center,false_font_05,1,0.806666667,0.466,0.466,onset,1100
SX106,auditory_and_visual,1,0,34,practice_05,practice_11,irrelevant,face,center,face_10,1.5,0.833333333,0.466,0.466,onset,1100
SX106,auditory_and_visual,1,0,35,practice_05,practice_11,non-target,false_font,left,false_font_06,1.5,0.806666667,0.116,1.616,offset,1000
SX106,auditory_and_visual,1,0,36,practice_05,practice_11,irrelevant,face,left,face_08,1.5,0.74,0,0,onset,1100
SX106,auditory_and_visual,1,0,37,practice_05,practice_11,irrelevant,object,center,object_01,0.5,1.273333333,0.466,0.466,onset,1000
SX106,auditory_and_visual,1,0,38,practice_05,practice_11,target,letter,right,practice_11,1,0.86,0.466,0.466,onset,1100
SX106,auditory_and_visual,1,0,39,practice_05,practice_11,irrelevant,object,left,object_19,1,1.206666667,0.232,1.232,offset,1000
SX106,auditory_and_visual,1,0,40,practice_05,practice_11,irrelevant,face,left,face_08,1,1.713333333,0.232,1.232,offset,1100
SX106,introspection,0,1,1,letter_17,false_font_15,irrelevant,face,center,face_18,1.5,1.36867562113772,0,0,onset,1100
SX106,introspection,0,1,2,letter_17,false_font_15,target,false_font,left,false_font_15,1.5,1.10288296552592,0.466,1.966,offset,1000
SX106,introspection,0,1,3,letter_17,false_font_15,non-target,false_font,center,false_font_04,0.5,1.09763329435552,0.232,0.232,onset,1100
SX106,introspection,0,1,4,letter_17,false_font_15,non-target,false_font,right,false_font_14,1.5,0.800802920594711,0.466,1.966,offset,1100
SX106,introspection,0,1,5,letter_17,false_font_15,non-target,false_font,right,false_font_11,1,0.802872876854783,0.466,1.466,offset,1100
SX106,introspection,0,1,6,letter_17,false_font_15,irrelevant,face,center,face_05,1.5,1.29039122637513,0.232,0.232,onset,1100
SX106,introspection,0,1,7,letter_17,false_font_15,non-target,false_font,left,false_font_19,1.5,0.823022201224574,0.466,1.966,offset,1000
SX106,introspection,0,1,8,letter_17,false_font_15,target,false_font,center,false_font_15,0.5,1.20968177554834,0,0.5,offset,1000
SX106,introspection,0,1,9,letter_17,false_font_15,irrelevant,object,center,object_14,0.5,0.720608617030011,0,0,onset,1000
SX106,introspection,0,1,10,letter_17,false_font_15,target,letter,right,letter_17,1,1.25534723344874,0.466,1.466,offset,1100
SX106,introspection,0,1,11,letter_17,false_font_15,irrelevant,face,right,face_15,1,1.91516037810603,0.466,1.466,offset,1100
SX106,introspection,0,1,12,letter_17,false_font_15,irrelevant,object,center,object_15,1,1.03157590556646,0.466,0.466,onset,1000
SX106,introspection,0,1,13,letter_17,false_font_15,irrelevant,face,center,face_05,1,1.20866062028437,0.232,0.232,onset,1000
SX106,introspection,0,1,14,letter_17,false_font_15,non-target,letter,center,letter_10,0.5,1.69322381792078,0.232,0.732,offset,1100
SX106,introspection,0,1,15,letter_17,false_font_15,target,letter,center,letter_17,1,1.14957713798973,0.232,0.232,onset,1100
SX106,introspection,0,1,16,letter_17,false_font_15,non-target,false_font,center,false_font_02,0.5,0.77712484716529,0,0,onset,1100
SX106,introspection,0,1,17,letter_17,false_font_15,irrelevant,object,center,object_08,0.5,0.768219891546605,0.466,0.466,onset,1000
SX106,introspection,0,1,18,letter_17,false_font_15,non-target,letter,center,letter_02,1,0.88071843826965,0.232,0.232,onset,1000
SX106,introspection,0,1,19,letter_17,false_font_15,irrelevant,face,center,face_06,0.5,1.12822715444364,0.232,0.232,onset,1000
SX106,introspection,0,1,20,letter_17,false_font_15,target,letter,left,letter_17,1.5,1.22102952782962,0.466,0.466,onset,1000
SX106,introspection,0,1,21,letter_17,false_font_15,irrelevant,object,right,object_10,1.5,0.961764743930231,0.232,0.232,onset,1100
SX106,introspection,0,2,22,letter_17,false_font_15,non-target,false_font,right,false_font_01,0.5,1.00086512477171,0.232,0.232,onset,1100
SX106,introspection,0,2,23,letter_17,false_font_15,non-target,letter,left,letter_02,1,1.76470997633455,0,0,onset,1000
SX106,introspection,0,2,24,letter_17,false_font_15,non-target,letter,center,letter_13,0.5,0.816848485936361,0.232,0.232,onset,1100
SX106,introspection,0,2,25,letter_17,false_font_15,non-target,letter,right,letter_19,1,0.904798553103266,0,1,offset,1000
SX106,introspection,0,2,26,letter_17,false_font_15,irrelevant,object,center,object_09,1.5,0.79229479390297,0,0,onset,1100
SX106,introspection,0,2,27,letter_17,false_font_15,irrelevant,face,center,face_16,1.5,0.850184669449883,0.466,0.466,onset,1100
SX106,introspection,0,2,28,letter_17,false_font_15,non-target,letter,right,letter_13,0.5,1.61742825609445,0.466,0.966,offset,1100
SX106,introspection,0,2,29,letter_17,false_font_15,irrelevant,object,center,object_08,1.5,1.21558157098536,0.466,0.466,onset,1100
SX106,introspection,0,2,30,letter_17,false_font_15,non-target,letter,right,letter_01,1,0.930558257837272,0.466,0.466,onset,1100
SX106,introspection,0,2,31,letter_17,false_font_15,irrelevant,object,center,object_18,1,0.966671314802691,0.232,1.232,offset,1100
SX106,introspection,0,2,32,letter_17,false_font_15,non-target,letter,right,letter_14,1,1.1795711615781,0,0,onset,1100
SX106,introspection,0,2,33,letter_17,false_font_15,irrelevant,object,left,object_13,1.5,1.3428465224694,0.232,0.232,onset,1000
SX106,introspection,0,2,34,letter_17,false_font_15,target,false_font,right,false_font_15,0.5,1.82527437762047,0,0,onset,1100
SX106,introspection,0,2,35,letter_17,false_font_15,irrelevant,object,center,object_04,1,1.36323258202825,0.232,0.232,onset,1100
SX106,introspection,0,2,36,letter_17,false_font_15,non-target,false_font,left,false_font_01,1,1.32256130981248,0.232,1.232,offset,1000
SX106,introspection,0,2,37,letter_17,false_font_15,irrelevant,object,center,object_13,1,1.20403748615395,0,0,onset,1100
SX106,introspection,0,2,38,letter_17,false_font_15,non-target,letter,center,letter_01,1,1.02029725638649,0.232,0.232,onset,1000
SX106,introspection,0,2,39,letter_17,false_font_15,irrelevant,object,center,object_06,0.5,0.821121091411025,0,0,onset,1000
SX106,introspection,0,2,40,letter_17,false_font_15,non-target,false_font,left,false_font_20,1.5,0.92804632128206,0,0,onset,1000
SX106,introspection,0,2,41,letter_17,false_font_15,irrelevant,face,center,face_11,0.5,0.731129859719402,0.232,0.732,offset,1100
SX106,introspection,0,2,42,letter_17,false_font_15,non-target,false_font,center,false_font_10,1.5,1.07700116233329,0.466,0.466,onset,1100
SX106,introspection,0,3,1,letter_15,false_font_08,irrelevant,face,right,face_05,0.5,0.836982863924369,0.232,0.232,onset,1100
SX106,introspection,0,3,2,letter_15,false_font_08,non-target,false_font,left,false_font_06,1,1.22140657272439,0.232,0.232,onset,1000
SX106,introspection,0,3,3,letter_15,false_font_08,irrelevant,object,center,object_06,1,0.736868290532892,0.232,0.232,onset,1000
SX106,introspection,0,3,4,letter_15,false_font_08,irrelevant,object,right,object_09,1.5,1.79142069942824,0,1.5,offset,1100
SX106,introspection,0,3,5,letter_15,false_font_08,irrelevant,face,left,face_18,1.5,0.715618272387574,0,1.5,offset,1000
SX106,introspection,0,3,6,letter_15,false_font_08,irrelevant,face,center,face_03,1,1.34336170240466,0,0,onset,1100
SX106,introspection,0,3,7,letter_15,false_font_08,non-target,letter,center,letter_12,0.5,0.793945559943421,0,0,onset,1000
SX106,introspection,0,3,8,letter_15,false_font_08,irrelevant,object,center,object_10,1,1.72354926002243,0,1,offset,1000
SX106,introspection,0,3,9,letter_15,false_font_08,non-target,false_font,right,false_font_12,0.5,0.72361851487797,0,0.5,offset,1000
SX106,introspection,0,3,10,letter_15,false_font_08,target,false_font,center,false_font_08,1,1.24946166256343,0.232,1.232,offset,1000
SX106,introspection,0,3,11,letter_15,false_font_08,non-target,letter,left,letter_09,1.5,1.6001164928179,0.466,1.966,offset,1100
SX106,introspection,0,3,12,letter_15,false_font_08,irrelevant,face,left,face_04,0.5,1.84745083561641,0.466,0.966,offset,1100
SX106,introspection,0,3,13,letter_15,false_font_08,non-target,letter,right,letter_02,1.5,1.32361677280695,0.466,1.966,offset,1000
SX106,introspection,0,3,14,letter_15,false_font_08,non-target,letter,center,letter_01,1.5,1.57487126888305,0.466,0.466,onset,1000
SX106,introspection,0,3,15,letter_15,false_font_08,non-target,false_font,right,false_font_17,1.5,0.794052212295621,0.466,1.966,offset,1000
SX106,introspection,0,3,16,letter_15,false_font_08,irrelevant,face,left,face_11,1,0.764770225167439,0.232,1.232,offset,1000
SX106,introspection,0,3,17,letter_15,false_font_08,irrelevant,object,center,object_19,1.5,0.86101436342585,0.232,1.732,offset,1100
SX106,introspection,0,3,18,letter_15,false_font_08,non-target,false_font,center,false_font_18,0.5,1.48216574118731,0.466,0.466,onset,1000
SX106,introspection,0,3,19,letter_15,false_font_08,target,letter,center,letter_15,1,1.10058163085854,0,0,onset,1100
SX106,introspection,0,4,20,letter_15,false_font_08,irrelevant,face,right,face_02,0.5,1.39534997690138,0.232,0.732,offset,1000
SX106,introspection,0,4,21,letter_15,false_font_08,non-target,false_font,left,false_font_04,0.5,0.743578346353706,0,0.5,offset,1100
SX106,introspection,0,4,22,letter_15,false_font_08,target,false_font,center,false_font_08,1,1.53050260414066,0.466,0.466,onset,1000
SX106,introspection,0,4,23,letter_15,false_font_08,non-target,letter,center,letter_08,0.5,1.52181728884251,0.466,0.466,onset,1000
SX106,introspection,0,4,24,letter_15,false_font_08,non-target,false_font,left,false_font_09,0.5,1.12482913855634,0.232,0.732,offset,1000
SX106,introspection,0,4,25,letter_15,false_font_08,irrelevant,face,center,face_02,1.5,0.838958183628446,0.466,1.966,offset,1000
SX106,introspection,0,4,26,letter_15,false_font_08,non-target,letter,left,letter_16,0.5,1.55606460261137,0.466,0.966,offset,1100
SX106,introspection,0,4,27,letter_15,false_font_08,non-target,letter,center,letter_16,0.5,1.09551132696915,0.466,0.466,onset,1100
SX106,introspection,0,4,28,letter_15,false_font_08,irrelevant,object,right,object_04,0.5,1.48925688408993,0.232,0.232,onset,1100
SX106,introspection,0,4,29,letter_15,false_font_08,irrelevant,object,center,object_09,1,1.16127988896118,0,0,onset,1000
SX106,introspection,0,4,30,letter_15,false_font_08,non-target,letter,left,letter_04,1.5,1.31606085019323,0,1.5,offset,1100
SX106,introspection,0,4,31,letter_15,false_font_08,irrelevant,object,center,object_07,1.5,0.77711415974993,0.466,1.966,offset,1000
SX106,introspection,0,4,32,letter_15,false_font_08,non-target,letter,center,letter_05,0.5,1.78224847912119,0.466,0.966,offset,1000
SX106,introspection,0,4,33,letter_15,false_font_08,irrelevant,object,center,object_10,1.5,1.15956508432874,0.232,1.732,offset,1000
SX106,introspection,0,4,34,letter_15,false_font_08,non-target,letter,left,letter_11,1.5,1.31609919032815,0.466,0.466,onset,1000
SX106,introspection,0,4,35,letter_15,false_font_08,irrelevant,face,left,face_01,1.5,0.843746233865337,0.232,0.232,onset,1000
SX106,introspection,0,4,36,letter_15,false_font_08,non-target,letter,left,letter_13,1.5,0.761860813755042,0.232,1.732,offset,1000
SX106,introspection,0,4,37,letter_15,false_font_08,irrelevant,object,right,object_19,0.5,0.903752410381757,0.232,0.732,offset,1100
