block,target_1,target_2,category,orientation,identity,duration,stim_jit
12,face_10,object_11,false_font,center,false_font_13,1.49333333333333,0.253333333333333
12,face_10,object_11,object,center,object_15,1.49333333333333,0.333333333333333
12,face_10,object_11,letter,left,letter_02,1,0.426666666666667
12,face_10,object_11,object,center,object_19,0.506666666666667,0.24
12,face_10,object_11,false_font,left,false_font_17,1.49333333333333,0.253333333333333
12,face_10,object_11,letter,left,letter_15,1.49333333333333,0.213333333333333
12,face_10,object_11,object,left,object_16,0.506666666666667,0.24
12,face_10,object_11,face,right,face_04,1,0.386666666666667
12,face_10,object_11,face,center,face_18,1,0.28
12,face_10,object_11,face,center,face_19,0.506666666666667,0.266666666666667
12,face_10,object_11,letter,left,letter_06,0.506666666666667,0.226666666666667
12,face_10,object_11,face,center,face_12,1.49333333333333,0.24
12,face_10,object_11,false_font,left,false_font_17,1.49333333333333,0.466666666666667
12,face_10,object_11,face,right,face_11,0.506666666666667,0.24
12,face_10,object_11,false_font,right,false_font_17,1,0.32
12,face_10,object_11,face,center,face_20,1,0.653333333333333
12,face_10,object_11,letter,right,letter_11,1.49333333333333,0.213333333333333
12,face_10,object_11,face,right,face_05,1,0.52
12,face_10,object_11,false_font,left,false_font_11,1.49333333333333,0.546666666666667
12,face_10,object_11,object,left,object_18,0.506666666666667,0.36
12,face_10,object_11,false_font,center,false_font_13,0.506666666666667,0.52
13,face_12,object_16,object,center,object_10,1.49333333333333,0.213333333333333
13,face_12,object_16,face,center,face_20,1,0.813333333333333
13,face_12,object_16,object,left,object_05,1,0.346666666666667
13,face_12,object_16,object,left,object_16,0.506666666666667,0.226666666666667
13,face_12,object_16,letter,center,letter_05,0.506666666666667,0.253333333333333
13,face_12,object_16,false_font,center,false_font_18,1,0.253333333333333
13,face_12,object_16,face,center,face_12,1.49333333333333,0.253333333333333
13,face_12,object_16,face,center,face_10,0.506666666666667,0.32
13,face_12,object_16,false_font,center,false_font_04,0.506666666666667,0.533333333333333
13,face_12,object_16,face,left,face_05,0.506666666666667,0.2
13,face_12,object_16,object,left,object_11,1.49333333333333,0.653333333333333
13,face_12,object_16,object,center,object_16,1,0.253333333333333
13,face_12,object_16,false_font,center,false_font_07,1.49333333333333,0.546666666666667
13,face_12,object_16,letter,right,letter_04,1,0.293333333333333
13,face_12,object_16,letter,center,letter_16,1.49333333333333,0.36
13,face_12,object_16,false_font,right,false_font_11,1,0.413333333333333
13,face_12,object_16,letter,left,letter_17,1.49333333333333,0.853333333333333
13,face_12,object_16,object,center,object_16,0.506666666666667,0.28
13,face_12,object_16,face,left,face_04,1.49333333333333,1.04
13,face_12,object_16,object,left,object_06,0.506666666666667,0.24
13,face_12,object_16,false_font,center,false_font_01,1,0.333333333333333
13,face_12,object_16,object,right,object_01,0.506666666666667,0.506666666666667
13,face_12,object_16,letter,center,letter_15,1,0.293333333333333
13,face_12,object_16,object,right,object_12,0.506666666666667,1.26666666666667
13,face_12,object_16,false_font,center,false_font_16,1,0.24
13,face_12,object_16,face,center,face_14,1.49333333333333,0.413333333333333
13,face_12,object_16,face,center,face_12,0.506666666666667,0.306666666666667
13,face_12,object_16,face,center,face_17,1.49333333333333,0.52
13,face_12,object_16,object,center,object_06,1.49333333333333,0.76
13,face_12,object_16,face,right,face_05,1,0.253333333333333
13,face_12,object_16,object,center,object_16,1,0.213333333333333
13,face_12,object_16,false_font,center,false_font_11,1,0.613333333333333
13,face_12,object_16,object,left,object_17,1,0.253333333333333
13,face_12,object_16,letter,right,letter_08,1,0.346666666666667
13,face_12,object_16,letter,left,letter_20,0.506666666666667,0.213333333333333
13,face_12,object_16,face,left,face_03,1,0.706666666666667
13,face_12,object_16,false_font,center,false_font_20,0.506666666666667,0.613333333333333
13,face_12,object_16,letter,center,letter_05,0.506666666666667,0.333333333333333
14,face_01,object_10,face,right,face_01,0.506666666666667,0.373333333333333
14,face_01,object_10,face,center,face_13,1,0.24
14,face_01,object_10,object,right,object_06,1,0.2
14,face_01,object_10,object,right,object_18,1.49333333333333,0.24
14,face_01,object_10,object,center,object_16,1,0.266666666666667
14,face_01,object_10,face,center,face_20,0.506666666666667,0.32
14,face_01,object_10,false_font,center,false_font_15,1,0.693333333333333
14,face_01,object_10,false_font,center,false_font_12,0.506666666666667,0.346666666666667
14,face_01,object_10,face,center,face_09,0.506666666666667,0.266666666666667
14,face_01,object_10,face,left,face_01,0.506666666666667,0.386666666666667
14,face_01,object_10,letter,center,letter_20,1.49333333333333,0.613333333333333
