sub_id,task,is_practice,block,trial,target_01,target_02,task_relevance,category,orientation,identity,duration,stim_jit,SOA,onset_SOA,SOA_lock,pitch,intro_jit
SX134,introspection,0,3,4,letter_01,false_font_03,non-target,false_font,left,false_font_20,1,0.82279939034264,0,1,offset,1100,0.280507866164333
SX134,introspection,0,3,5,letter_01,false_font_03,non-target,letter,center,letter_15,1,0.976627144274115,0.466,0.466,onset,1100,0.988210808960887
SX134,introspection,0,3,6,letter_01,false_font_03,non-target,false_font,center,false_font_20,0.5,0.851859168020778,0.232,0.232,onset,1000,1.02568804116875
SX134,introspection,0,3,7,letter_01,false_font_03,non-target,letter,center,letter_14,1,1.03340726129207,0,1,offset,1100,1.3024896017017
SX134,introspection,0,3,8,letter_01,false_font_03,irrelevant,object,right,object_05,1,0.882907328092213,0.466,0.466,onset,1100,1.38554600495909
SX134,introspection,0,3,9,letter_01,false_font_03,non-target,letter,right,letter_19,1,0.88234672813993,0,1,offset,1000,0.743785884373361
SX134,introspection,0,3,10,letter_01,false_font_03,target,letter,center,letter_01,1,1.40856220255593,0.232,1.232,offset,1100,0.43755018518271
SX134,introspection,0,3,11,letter_01,false_font_03,target,letter,center,letter_01,1,1.96057295020036,0.466,1.466,offset,1100,0.221383846217161
SX134,introspection,0,3,12,letter_01,false_font_03,irrelevant,face,center,face_04,1.5,1.05197678939136,0.232,0.232,onset,1100,0.424403676146296
SX134,introspection,0,3,13,letter_01,false_font_03,target,false_font,right,false_font_03,0.5,0.837350537413615,0.466,0.466,onset,1100,0.958817152103067
SX134,introspection,0,3,14,letter_01,false_font_03,non-target,letter,center,letter_20,1,1.69182239241833,0.466,1.466,offset,1000,0.807885229929788
SX134,introspection,0,3,15,letter_01,false_font_03,irrelevant,object,right,object_11,1,0.787016067185097,0,1,offset,1000,0.240024795171893
SX134,introspection,0,3,16,letter_01,false_font_03,non-target,letter,right,letter_05,0.5,0.837469690287849,0,0.5,offset,1000,0.722493555989006
SX134,introspection,0,3,17,letter_01,false_font_03,irrelevant,face,center,face_14,1,1.90171017675512,0,0,onset,1100,0.208928842596516
SX134,introspection,0,3,18,letter_01,false_font_03,irrelevant,face,center,face_10,0.5,0.875498069769438,0.232,0.232,onset,1100,0.889410443609928
SX134,introspection,0,3,19,letter_01,false_font_03,non-target,false_font,center,false_font_16,0.5,1.09779015209522,0,0,onset,1000,0.452760095199569
SX134,introspection,0,3,20,letter_01,false_font_03,non-target,false_font,left,false_font_09,0.5,1.00466040125249,0.466,0.966,offset,1000,1.10418588236364
SX134,introspection,0,4,21,letter_01,false_font_03,target,false_font,center,false_font_03,0.5,0.859602624479992,0.232,0.732,offset,1100,0.867534194906927
SX134,introspection,0,4,22,letter_01,false_font_03,irrelevant,face,right,face_16,1.5,1.89707100850683,0.466,1.966,offset,1100,0.336771069872111
SX134,introspection,0,4,23,letter_01,false_font_03,irrelevant,face,center,face_04,1,1.08868008606998,0.232,1.232,offset,1100,0.703805736048712
SX134,introspection,0,4,24,letter_01,false_font_03,non-target,letter,left,letter_07,1,1.96063253493653,0,0,onset,1000,0.357740372890316
SX134,introspection,0,4,25,letter_01,false_font_03,irrelevant,face,center,face_06,1.5,0.984502023252501,0.466,0.466,onset,1100,0.806541332975521
SX134,introspection,0,4,26,letter_01,false_font_03,non-target,false_font,right,false_font_06,1.5,1.60527566556238,0.466,1.966,offset,1100,1.3818281616967
SX134,introspection,0,4,27,letter_01,false_font_03,irrelevant,face,left,face_03,1,0.851461673930582,0.466,0.466,onset,1000,0.218390591971351
SX134,introspection,0,4,28,letter_01,false_font_03,irrelevant,face,left,face_01,1,1.10924580480495,0.466,1.466,offset,1100,1.01318362951402
SX134,introspection,0,4,29,letter_01,false_font_03,irrelevant,face,right,face_08,0.5,1.2052714825211,0.232,0.232,onset,1100,0.314186892223643
SX134,introspection,0,4,30,letter_01,false_font_03,non-target,letter,center,letter_16,1.5,0.736315604521478,0.232,0.232,onset,1100,1.20352789837975
