task,is_practice,block,trial,target_01,target_02,task_relevance,category,orientation,identity,duration,stim_jit,SOA,SOA_lock,pitch
prp,0,1,11,letter_08,false_font_18,non-target,letter,center,letter_03,1.5,0.809746732762226,0.166,offset,1000
prp,0,1,12,letter_08,false_font_18,irrelevant,object,right,object_05,0.5,1.32621730239738,0.166,offset,1000
prp,0,1,13,letter_08,false_font_18,non-target,letter,center,letter_20,0.5,0.786500043379033,0.166,onset,1000
prp,0,1,14,letter_08,false_font_18,target,false_font,right,false_font_18,0.5,0.972468494636497,0,onset,1000
prp,0,1,15,letter_08,false_font_18,irrelevant,object,center,object_08,1.5,1.90318104168584,0.166,offset,1000
prp,0,1,16,letter_08,false_font_18,irrelevant,face,left,face_18,1,1.05080122779323,0,onset,1000
prp,0,1,17,letter_08,false_font_18,irrelevant,face,left,face_06,1.5,1.90554265551591,0.166,offset,1100
prp,0,1,18,letter_08,false_font_18,non-target,false_font,center,false_font_20,1,1.38072954130447,0.166,offset,1100
prp,0,1,19,letter_08,false_font_18,irrelevant,face,left,face_05,0.5,0.705589933306117,0.266,offset,1100
prp,0,1,20,letter_08,false_font_18,non-target,false_font,center,false_font_07,1,1.04712758818633,0,onset,1100
prp,0,1,21,letter_08,false_font_18,target,false_font,left,false_font_18,1,1.97907274509614,0,onset,1000
prp,0,1,22,letter_08,false_font_18,target,letter,left,letter_08,0.5,0.787783947905239,466,onset,1100
prp,0,1,23,letter_08,false_font_18,non-target,letter,center,letter_02,1.5,1.56034257744005,0.266,offset,1100
prp,0,1,24,letter_08,false_font_18,irrelevant,object,right,object_04,0.5,1.67364294560372,0,offset,1100
prp,0,1,25,letter_08,false_font_18,irrelevant,object,center,object_20,0.5,0.914936088725854,0,onset,1100
prp,0,1,26,letter_08,false_font_18,non-target,false_font,left,false_font_17,1.5,1.86265853681682,0,onset,1100
prp,0,1,27,letter_08,false_font_18,non-target,letter,center,letter_12,0.5,1.32517268309643,0.466,offset,1000
prp,0,1,28,letter_08,false_font_18,irrelevant,face,center,face_09,0.5,1.56584020204059,0.166,onset,1000
prp,0,1,29,letter_08,false_font_18,non-target,false_font,center,false_font_07,0.5,1.79810450379955,0.266,onset,1000
prp,0,1,30,letter_08,false_font_18,irrelevant,object,right,object_14,1.5,1.88805534222362,0.266,onset,1000
prp,0,1,31,letter_08,false_font_18,non-target,letter,right,letter_05,1,0.973488662502141,0.466,onset,1100
prp,0,1,32,letter_08,false_font_18,irrelevant,face,center,face_10,0.5,0.727003950854644,0.466,onset,1000
prp,0,1,33,letter_08,false_font_18,irrelevant,object,center,object_10,1.5,1.50272563711565,0.466,offset,1100
prp,0,1,34,letter_08,false_font_18,non-target,false_font,center,false_font_07,1.5,1.59644704117626,0.466,onset,1000
prp,0,1,35,letter_08,false_font_18,non-target,letter,right,letter_17,0.5,1.32668456350403,0,onset,1000
prp,0,1,36,letter_08,false_font_18,target,letter,right,letter_08,1,0.871737519417521,466,offset,1000
prp,0,1,37,letter_08,false_font_18,target,false_font,left,false_font_18,0.5,1.42912530042093,166,onset,1100
prp,0,2,1,letter_01,false_font_12,non-target,letter,right,letter_04,0.5,0.729889639734847,0.166,onset,1100
prp,0,2,2,letter_01,false_font_12,non-target,letter,center,letter_07,1.5,1.11903079073727,0.466,offset,1000
prp,0,2,3,letter_01,false_font_12,non-target,false_font,center,false_font_02,1,1.41682726062589,0.166,onset,1100
prp,0,2,4,letter_01,false_font_12,irrelevant,face,right,face_05,1.5,1.09028883022143,0.466,offset,1100
prp,0,2,5,letter_01,false_font_12,non-target,letter,center,letter_03,1,0.892490997058016,0.266,onset,1000
prp,0,2,6,letter_01,false_font_12,target,letter,center,letter_01,1,1.31783904369413,466,onset,1000
prp,0,2,7,letter_01,false_font_12,target,false_font,right,false_font_12,0.5,1.30207227473445,0,onset,1000
prp,0,2,8,letter_01,false_font_12,non-target,letter,left,letter_04,1,1.16579730114239,0,offset,1100
prp,0,2,9,letter_01,false_font_12,target,false_font,center,false_font_12,1,1.62716404168567,266,offset,1100
prp,0,2,10,letter_01,false_font_12,irrelevant,object,center,object_03,1,1.32100979729857,0.166,offset,1100
prp,0,2,11,letter_01,false_font_12,irrelevant,face,center,face_19,1.5,1.99328067630784,0,onset,1000
prp,0,2,12,letter_01,false_font_12,irrelevant,face,right,face_20,1,1.0308244071533,0.166,offset,1100
prp,0,2,13,letter_01,false_font_12,target,letter,center,letter_01,1.5,0.979612832084243,166,offset,1100
prp,0,2,14,letter_01,false_font_12,non-target,false_font,center,false_font_13,0.5,0.963642679244977,0.166,onset,1100
prp,0,2,15,letter_01,false_font_12,irrelevant,face,right,face_04,1.5,1.13201256904998,0.166,onset,1100
prp,0,2,16,letter_01,false_font_12,irrelevant,face,right,face_11,1.5,1.51874969254135,0,offset,1000
prp,0,2,17,letter_01,false_font_12,irrelevant,object,right,object_13,1,1.7179899484418,0.166,offset,1000
prp,0,2,18,letter_01,false_font_12,irrelevant,object,right,object_09,0.5,0.996171803841659,0.266,offset,1000
prp,0,2,19,letter_01,false_font_12,irrelevant,object,left,object_16,1.5,0.851820824275069,0.266,offset,1100
prp,0,2,20,letter_01,false_font_12,irrelevant,object,center,object_04,1.5,0.778412974786775,0.266,offset,1000
prp,0,2,21,letter_01,false_font_12,non-target,false_font,center,false_font_07,1,0.961348800687092,0,offset,1000
prp,0,2,22,letter_01,false_font_12,non-target,letter,center,letter_14,0.5,1.40276748491022,0.266,offset,1000
prp,0,2,23,letter_01,false_font_12,irrelevant,face,center,face_17,0.5,1.23576268459548,0,onset,1100
prp,0,2,24,letter_01,false_font_12,target,false_font,center,false_font_12,1.5,1.6953675062567,266,onset,1100
prp,0,2,25,letter_01,false_font_12,irrelevant,face,right,face_12,1,1.09865547402865,0,offset,1100
prp,0,2,26,letter_01,false_font_12,non-target,letter,left,letter_13,1,1.35046136774695,0.166,onset,1100
prp,0,2,27,letter_01,false_font_12,non-target,letter,center,letter_02,1.5,1.95645665803735,0.166,onset,1000
prp,0,2,28,letter_01,false_font_12,non-target,letter,center,letter_05,0.5,1.93564763199833,0.266,onset,1000
prp,0,2,29,letter_01,false_font_12,non-target,letter,right,letter_11,0.5,1.17479666206892,0.266,onset,1000
prp,0,2,30,letter_01,false_font_12,non-target,false_font,center,false_font_05,1,1.40161205336352,0.166,onset,1100
prp,0,2,31,letter_01,false_font_12,non-target,false_font,center,false_font_03,1.5,1.42364600203165,0.266,onset,1100
prp,0,2,32,letter_01,false_font_12,non-target,false_font,center,false_font_11,0.5,0.751215944421938,0.166,offset,1000
prp,0,2,33,letter_01,false_font_12,irrelevant,face,right,face_09,1.5,0.779881142969874,0.266,onset,1100
prp,0,2,34,letter_01,false_font_12,non-target,letter,center,letter_05,0.5,1.18668382249382,0.166,offset,1100
prp,0,2,35,letter_01,false_font_12,irrelevant,face,left,face_04,1,0.928295773773416,0.166,offset,1100
prp,0,2,36,letter_01,false_font_12,irrelevant,face,left,face_18,1.5,1.835835027794,0.466,onset,1000
prp,0,2,37,letter_01,false_font_12,target,letter,center,letter_01,1.5,0.869238821750063,266,offset,1100
prp,0,2,38,letter_01,false_font_12,irrelevant,face,center,face_16,0.5,0.810786398400553,0,offset,1000
prp,0,3,1,face_01,object_10,irrelevant,letter,right,letter_16,1.5,1.24008207563678,0.266,onset,1100
prp,0,3,2,face_01,object_10,non-target,face,center,face_17,1.5,1.55085075350692,0.266,onset,1100
prp,0,3,3,face_01,object_10,target,face,center,face_01,1.5,1.02180679500064,166,offset,1000
prp,0,3,4,face_01,object_10,irrelevant,false_font,center,false_font_01,1,1.01738570467646,0.266,onset,1000
prp,0,3,5,face_01,object_10,target,object,center,object_10,0.5,1.62048643496118,0,offset,1000
prp,0,3,6,face_01,object_10,non-target,face,left,face_04,0.5,1.31287216369325,0.466,offset,1100
prp,0,3,7,face_01,object_10,non-target,object,left,object_04,1,1.47395873701767,0,onset,1100
prp,0,3,8,face_01,object_10,irrelevant,false_font,right,false_font_08,1.5,1.46766021886618,0.466,onset,1000
prp,0,3,9,face_01,object_10,irrelevant,false_font,right,false_font_07,1.5,1.13075168421358,0.266,onset,1000
prp,0,3,10,face_01,object_10,irrelevant,letter,right,letter_20,1.5,1.62664948392035,0,offset,1100
prp,0,3,11,face_01,object_10,target,face,left,face_01,1,1.7344557560267,466,offset,1000
prp,0,3,12,face_01,object_10,non-target,object,right,object_05,1,1.00684377167759,0.166,onset,1100
prp,0,3,13,face_01,object_10,irrelevant,letter,right,letter_07,1,1.92076557293851,0,offset,1000
prp,0,3,14,face_01,object_10,non-target,object,center,object_05,1.5,1.01577773144428,0.466,offset,1000
prp,0,3,15,face_01,object_10,non-target,object,right,object_12,0.5,0.777246102657432,0,onset,1100
prp,0,3,16,face_01,object_10,irrelevant,false_font,center,false_font_12,1,1.93664978380317,0.166,onset,1100
prp,0,3,17,face_01,object_10,irrelevant,false_font,center,false_font_03,0.5,0.839693678175525,0.266,onset,1000
prp,0,3,18,face_01,object_10,irrelevant,false_font,center,false_font_16,1,1.9196480477659,0,offset,1100
prp,0,3,19,face_01,object_10,irrelevant,letter,center,letter_09,1.5,0.93068690668478,0.166,offset,1000
prp,0,3,20,face_01,object_10,irrelevant,false_font,center,false_font_13,1.5,0.739510400669448,0.266,offset,1000
prp,0,3,21,face_01,object_10,non-target,object,center,object_15,0.5,1.30511783086241,0.166,onset,1100
prp,0,3,22,face_01,object_10,non-target,object,center,object_07,0.5,0.81957217857886,0.266,onset,1000
prp,0,3,23,face_01,object_10,non-target,object,center,object_07,1,1.75910657603828,0.466,onset,1000
prp,0,3,24,face_01,object_10,irrelevant,letter,left,letter_03,1.5,1.08991716325285,0.166,onset,1000
prp,0,3,25,face_01,object_10,non-target,face,center,face_20,0.5,0.917907342420719,0.166,onset,1000
prp,0,3,26,face_01,object_10,non-target,object,center,object_14,1,1.55518191478511,0.266,onset,1100
prp,0,3,27,face_01,object_10,non-target,face,center,face_17,1,0.849709708273783,0.166,onset,1100
prp,0,3,28,face_01,object_10,irrelevant,letter,right,letter_10,1,1.24942553498238,0.166,onset,1000
prp,0,3,29,face_01,object_10,non-target,face,right,face_07,1,1.3935640476567,0.266,onset,1100
prp,0,3,30,face_01,object_10,irrelevant,false_font,center,false_font_04,0.5,1.48648077467462,0,onset,1100
prp,0,3,31,face_01,object_10,non-target,face,center,face_09,1.5,1.82408483609038,0.166,onset,1000
prp,0,3,32,face_01,object_10,non-target,object,center,object_14,0.5,1.61900498395404,0.266,offset,1000
prp,0,3,33,face_01,object_10,irrelevant,false_font,center,false_font_18,1,0.910319292261722,0.266,onset,1000
prp,0,3,34,face_01,object_10,irrelevant,false_font,center,false_font_13,0.5,1.04539991583405,0,onset,1000
prp,0,3,35,face_01,object_10,target,face,left,face_01,1.5,1.64401801908604,166,onset,1000
prp,0,3,36,face_01,object_10,non-target,object,center,object_07,1,1.39692485941331,0.266,onset,1000
prp,0,4,1,face_03,object_14,non-target,object,center,object_18,1.5,1.32347264464861,0,offset,1000
prp,0,4,2,face_03,object_14,irrelevant,letter,center,letter_17,1,0.826774280290097,0.266,offset,1100
prp,0,4,3,face_03,object_14,target,object,right,object_14,0.5,0.701852977797009,266,offset,1100
prp,0,4,4,face_03,object_14,irrelevant,false_font,center,false_font_19,1,1.25123010417399,0.466,onset,1000
prp,0,4,5,face_03,object_14,non-target,object,left,object_08,1,1.91678129719128,0.166,onset,1000
prp,0,4,6,face_03,object_14,irrelevant,false_font,center,false_font_02,0.5,0.82433914193974,0.466,onset,1000
prp,0,4,7,face_03,object_14,non-target,object,center,object_03,1.5,1.09104981174166,0.266,offset,1100
prp,0,4,8,face_03,object_14,target,object,center,object_14,0.5,1.78495185072543,266,onset,1000
prp,0,4,9,face_03,object_14,irrelevant,letter,right,letter_13,1.5,0.776296279607879,0.166,offset,1100
prp,0,4,10,face_03,object_14,irrelevant,letter,right,letter_19,1,1.09860431027763,0.166,offset,1000
prp,0,4,11,face_03,object_14,non-target,face,center,face_02,1,1.03934021853681,0.466,offset,1100
prp,0,4,12,face_03,object_14,non-target,object,center,object_09,0.5,0.844343842325395,0,offset,1100
prp,0,4,13,face_03,object_14,non-target,object,right,object_05,1,0.885844258605791,0.466,offset,1100
prp,0,4,14,face_03,object_14,irrelevant,letter,right,letter_09,0.5,1.7463504073333,0.466,offset,1000
prp,0,4,15,face_03,object_14,irrelevant,letter,center,letter_02,1,1.14423316883656,0.166,onset,1000
prp,0,4,16,face_03,object_14,irrelevant,letter,center,letter_01,0.5,1.15352974234877,0.266,offset,1000
prp,0,4,17,face_03,object_14,non-target,face,center,face_20,1,1.5239444547553,0.166,onset,1000
prp,0,4,18,face_03,object_14,non-target,face,center,face_16,1,1.62613572787145,0,offset,1100
prp,0,4,19,face_03,object_14,non-target,face,right,face_08,0.5,1.76714502831404,0.466,offset,1000
prp,0,4,20,face_03,object_14,irrelevant,false_font,left,false_font_08,1.5,0.800917599528372,0.166,onset,1000
prp,0,4,21,face_03,object_14,non-target,face,right,face_04,1.5,1.36171732362015,0.166,onset,1100
prp,0,4,22,face_03,object_14,non-target,face,left,face_15,1,1.77874156320833,0.166,offset,1000
