task;is_practice;block;trial;target_01;target_02;task_relevance;category;orientation;identity;duration;stim_jit;SOA;SOA_lock;pitch;onset_SOA
prp;0;3;17;letter_09;false_font_04;irrelevant;object;center;object_03;0,5;1,236666512;0,232;onset;1100;0,232
prp;0;3;18;letter_09;false_font_04;target;letter;center;letter_09;0,5;0,897340533;0,466;offset;1100;0,966
prp;0;3;19;letter_09;false_font_04;non-target;letter;left;letter_03;1;1,389499743;0,116;onset;1100;0,116
prp;0;3;20;letter_09;false_font_04;non-target;letter;right;letter_14;1;1,565381668;0,232;onset;1000;0,232
prp;0;3;21;letter_09;false_font_04;non-target;false_font;center;false_font_01;1,5;0,724728685;0;onset;1000;0
prp;0;3;22;letter_09;false_font_04;irrelevant;face;left;face_09;1,5;1,322852765;0,116;onset;1000;0,116
prp;0;3;23;letter_09;false_font_04;target;false_font;left;false_font_04;0,5;0,962572447;0;onset;1000;0
prp;0;3;24;letter_09;false_font_04;non-target;letter;center;letter_14;1,5;0,860282883;0,116;onset;1000;0,116
prp;0;3;25;letter_09;false_font_04;irrelevant;face;center;face_14;0,5;1,463917846;0;offset;1000;0,5
prp;0;3;26;letter_09;false_font_04;non-target;false_font;center;false_font_12;1,5;1,60231875;0,232;offset;1000;1,732
prp;0;3;27;letter_09;false_font_04;irrelevant;face;center;face_17;1,5;1,043851571;0;offset;1100;1,5
prp;0;3;28;letter_09;false_font_04;irrelevant;face;center;face_14;0,5;0,762820394;0;onset;1100;0
prp;0;3;29;letter_09;false_font_04;non-target;letter;center;letter_10;1;1,060408974;0;onset;1000;0
prp;0;3;30;letter_09;false_font_04;non-target;false_font;right;false_font_12;0,5;0,790272224;0,232;offset;1100;0,732
prp;0;3;31;letter_09;false_font_04;non-target;letter;center;letter_06;0,5;1,341506682;0,466;offset;1000;0,966
prp;0;3;32;letter_09;false_font_04;irrelevant;face;right;face_06;1,5;1,176989056;0,116;offset;1100;1,616
prp;0;3;33;letter_09;false_font_04;non-target;false_font;right;false_font_06;1;1,759812807;0,232;offset;1000;1,232
prp;0;3;34;letter_09;false_font_04;irrelevant;object;right;object_08;1;1,077962866;0;offset;1000;1
prp;0;3;35;letter_09;false_font_04;irrelevant;object;center;object_07;1,5;1,683076467;0,466;offset;1000;1,966
prp;0;4;1;letter_03;false_font_10;non-target;letter;left;letter_04;1,5;1,05975869;0,466;onset;1000;0,466
prp;0;4;2;letter_03;false_font_10;non-target;false_font;center;false_font_11;1;0,833909108;0;offset;1000;1
prp;0;4;3;letter_03;false_font_10;non-target;letter;center;letter_17;1,5;0,982697607;0,116;onset;1000;0,116
prp;0;4;4;letter_03;false_font_10;irrelevant;object;center;object_03;0,5;0,917830538;0,116;onset;1000;0,116
prp;0;4;5;letter_03;false_font_10;non-target;false_font;center;false_font_16;1;0,859706597;0;onset;1100;0
prp;0;4;6;letter_03;false_font_10;irrelevant;face;center;face_10;0,5;1,204342838;0,116;onset;1100;0,116
prp;0;4;7;letter_03;false_font_10;irrelevant;face;center;face_03;1,5;1,883324233;0;onset;1100;0
prp;0;4;8;letter_03;false_font_10;irrelevant;face;center;face_20;1;1,030494208;0;onset;1000;0
prp;0;4;9;letter_03;false_font_10;irrelevant;face;right;face_01;1,5;1,411003597;0,232;onset;1000;0,232
prp;0;4;10;letter_03;false_font_10;irrelevant;face;right;face_07;1,5;1,666138291;0;offset;1100;1,5
prp;0;4;11;letter_03;false_font_10;irrelevant;face;left;face_09;1;1,428636695;0,232;offset;1000;1,232
prp;0;4;12;letter_03;false_font_10;non-target;false_font;center;false_font_05;0,5;1,446161896;0,116;onset;1100;0,116
prp;0;4;13;letter_03;false_font_10;non-target;letter;center;letter_05;0,5;0,917602882;0,232;onset;1100;0,232
prp;0;4;14;letter_03;false_font_10;irrelevant;face;center;face_09;0,5;1,906446601;0,466;onset;1100;0,466
prp;0;4;15;letter_03;false_font_10;non-target;false_font;left;false_font_07;1;1,921899368;0,232;offset;1100;1,232
prp;0;4;16;letter_03;false_font_10;irrelevant;object;center;object_16;0,5;1,772863961;0,232;offset;1000;0,732
prp;0;4;17;letter_03;false_font_10;non-target;false_font;center;false_font_04;1;1,756731778;0;onset;1000;0
prp;0;4;18;letter_03;false_font_10;irrelevant;object;center;object_05;1,5;1,587645893;0;offset;1000;1,5
prp;0;4;19;letter_03;false_font_10;target;letter;left;letter_03;1,5;1,617952686;0,266;onset;1100;0,266
prp;0;4;20;letter_03;false_font_10;non-target;letter;right;letter_04;0,5;1,116705826;0;offset;1000;0,5
prp;0;4;21;letter_03;false_font_10;irrelevant;object;right;object_15;1;1,193466876;0,232;offset;1000;1,232
prp;0;4;22;letter_03;false_font_10;non-target;false_font;center;false_font_02;1;1,485604271;0,232;offset;1000;1,232
