real_dur;target_dur; dur_diff ;real_SOA;target_SOA;SOA_diff;trial_dur;trial_dur_plus_jitter
0,49995796;0,5;-0,0000420 ;0,001331757;0;0,001331757;1,999915773;3,722863857
0,506927271;0,5; 0,0069273 ;0,496699535;0,5;-0,003300465;1,999940638;3,106103535
0,506925829;0,5; 0,0069258 ;0,462700986;0,466;-0,003299014;2,006880473;3,492105886
0,506935842;0,5; 0,0069358 ;0,962611612;0,966;-0,003388388;2,006885936;2,748175112
1,006912127;1; 0,0069121 ;0,112699364;0,116;-0,003300636;1,999978672;2,853671264
0,506925615;0,5; 0,0069256 ;0,612727092;0,616;-0,003272908;1,999936118;3,103570492
1,506868893;1,5; 0,0068689 ;0,001324457;0;0,001324457;2,006881536;3,541886857
1,506872436;1,5; 0,0068724 ;1,496715564;1,5;-0,003284436;1,99990716;3,104614964
1,506898171;1,5; 0,0068982 ;1,728777541;1,732;-0,003222459;1,999936633;2,846057441
1,506904471;1,5; 0,0069045 ;0,228604935;0,232;-0,003395065;1,999944849;3,284350935
0,999968796;1;-0,0000312 ;1,462760269;1,466;-0,003239731;2,006853481;3,356514169
1,506898193;1,5; 0,0068982 ;1,728621957;1,732;-0,003378043;2,006882987;3,453113557
1,506902385;1,5; 0,0069024 ;0,112768135;0,116;-0,003231865;2,006856942;3,931854735
0,506901858;0,5; 0,0069019 ;0,612575357;0,616;-0,003424643;2,006852822;2,764042457
0,999961966;1;-0,0000380 ;0,462665235;0,466;-0,003334765;2,006879271;3,373470435
1,506903929;1,5; 0,0069039 ;0,112581828;0,116;-0,003418172;2,006888864;3,201368128
1,006915585;1; 0,0069156 ;0,22868787;0,232;-0,00331213;1,999952243;3,32759907
0,99997142;1;-0,0000286 ;1,112764857;1,116;-0,003235143;2,006887642;3,451175757
1,006917878;1; 0,0069179 ;0,228774641;0,232;-0,003225359;2,006883649;3,481838441
1,506897513;1,5; 0,0068975 ;0,228694757;0,232;-0,003305243;2,006886542;2,898319557
1,0069119;1; 0,0069119 ;0,001451586;0;0,001451586;2,0068549;3,810538786
1,506899466;1,5; 0,0068995 ;0,001267272;0;0,001267272;1,999963935;3,464757672
1,506900249;1,5; 0,0069002 ;1,612728128;1,616;-0,003271872;2,006854893;2,836262828
0,506928736;0,5; 0,0069287 ;0,496737757;0,5;-0,003262243;1,999937704;3,480866257
0,499981375;0,5;-0,0000186 ;0,11267895;0,116;-0,00332105;1,99993796;2,94206235
1,506903836;1,5; 0,0069038 ;1,96259337;1,966;-0,00340663;2,006884907;2,97884177
0,506927715;0,5; 0,0069277 ;0,462719815;0,466;-0,003280185;2,006916936;3,512329515
0,506902664;0,5; 0,0069027 ;0,001372192;0;0,001372192;2,006858264;3,566906392
1,5069257;1,5; 0,0069257 ;0,112794157;0,116;-0,003205843;2,006883529;3,755403057
1,006920007;1; 0,0069200 ;0,996582457;1;-0,003417543;2,0068826;3,043819357
0,506922936;0,5; 0,0069229 ;0,228745806;0,232;-0,003254194;2,006912413;2,788599606
1,006917115;1; 0,0069171 ;0,112651208;0,116;-0,003348792;2,006886122;3,113189708
1,506906336;1,5; 0,0069063 ;0,228578892;0,232;-0,003421108;2,006888229;2,709715192
1,006912822;1; 0,0069128 ;0,99675941;1;-0,00324059;2,006881358;3,09175101
0,500016925;0,5; 0,0000169 ;0,612594661;0,616;-0,003405339;2,006919298;3,232508061
1,499953462;1,5;-0,0000465 ;0,001369028;0;0,001369028;1,999939527;3,465823628
0,506956671;0,5; 0,0069567 ;0,496763235;0,5;-0,003236765;2,006885042;3,325517535
1,506871873;1,5; 0,0068719 ;0,112731772;0,116;-0,003268228;2,006850444;3,111155072
0,506932793;0,5; 0,0069328 ;0,462784586;0,466;-0,003215414;2,006886187;3,130962686
1,506895878;1,5; 0,0068959 ;0,462667228;0,466;-0,003332772;2,006852464;2,707609628
0,506931058;0,5; 0,0069311 ;0,228891121;0,232;-0,003108879;1,999936231;3,668676621
1,006918654;1; 0,0069187 ;0,228737535;0,232;-0,003262465;2,006884607;2,782699635
1,506901893;1,5; 0,0069019 ;1,728693386;1,732;-0,003306614;2,0069236;3,310484186
0,506931242;0,5; 0,0069312 ;0,112635135;0,116;-0,003364865;2,006912378;3,048890035
1,506924273;1,5; 0,0069243 ;1,728749388;1,732;-0,003250612;2,006885302;3,645973988
